method,scenario,seed,station_id,cdd_obs,cdd_pred,cdd_abs_error,mean_dry_obs,mean_dry_pred,mean_dry_abs_error,p95_dry_obs,p95_dry_pred,p95_dry_abs_error,n_dry_spells_obs,n_dry_spells_pred
DirectTwoStageRF,block7d,123,17155,45.0,48.0,3.0,5.758064516129032,5.780487804878049,0.022423288749016557,18.0,18.0,0.0,124,123
DirectTwoStageRF,block7d,123,17704,44.0,44.0,0.0,5.392307692307693,5.433070866141732,0.04076317383403971,18.0,18.0,0.0,130,127
DirectTwoStageRF,block7d,123,17748,44.0,44.0,0.0,5.906779661016949,5.444444444444445,0.4623352165725043,18.299999999999983,17.5,0.799999999999983,118,126
DirectTwoStageRF,block7d,123,17750,48.0,64.0,16.0,5.582677165354331,6.042016806722689,0.45933964136835836,18.0,20.49999999999997,2.4999999999999716,127,119
DirectTwoStageRF,block30d,123,17155,45.0,45.0,0.0,5.758064516129032,5.793388429752066,0.03532391362303411,18.0,18.0,0.0,124,121
DirectTwoStageRF,block30d,123,17704,44.0,44.0,0.0,5.392307692307693,5.704918032786885,0.31261034047919267,18.0,18.0,0.0,130,122
DirectTwoStageRF,block30d,123,17748,44.0,44.0,0.0,5.906779661016949,5.549180327868853,0.3575993331480962,18.299999999999983,17.899999999999977,0.4000000000000057,118,122
DirectTwoStageRF,block30d,123,17750,48.0,48.0,0.0,5.582677165354331,5.515625,0.06705216535433056,18.0,19.299999999999983,1.299999999999983,127,128
DirectTwoStageRF,netblock30d,123,17155,45.0,50.0,5.0,5.758064516129032,7.12037037037037,1.3623058542413382,18.0,30.0,12.0,124,108
DirectTwoStageRF,netblock30d,123,17704,44.0,47.0,3.0,5.392307692307693,6.614035087719298,1.2217273954116052,18.0,32.44999999999996,14.44999999999996,130,114
DirectTwoStageRF,netblock30d,123,17748,44.0,55.0,11.0,5.906779661016949,7.25,1.343220338983051,18.299999999999983,37.099999999999966,18.799999999999983,118,104
DirectTwoStageRF,netblock30d,123,17750,48.0,94.0,46.0,5.582677165354331,6.591304347826087,1.0086271824717565,18.0,30.0,12.0,127,115
DirectTwoStageRF,10pct,456,17155,45.0,45.0,0.0,5.758064516129032,5.717741935483871,0.04032258064516103,18.0,18.0,0.0,124,124
